date,gdp
01/03/2018,4215576.481
01/06/2018,4720383.967
01/09/2018,4397241.325
01/12/2018,4931988.485
01/03/2019,4463185.921
01/06/2019,4985924.379
01/09/2019,4675544.205
01/12/2019,5258096.106
01/03/2020,4433805.487
01/06/2020,4142943.368
01/09/2020,4135498.81
01/12/2020,4825595.615
01/03/2021,4265322.414
01/06/2021,4645532.963
01/09/2021,4425697.224
01/12/2021,5201501.234
01/03/2022,4613154.758
01/06/2022,4992670.727
01/09/2022,4761926.322
