cntry,lntrust_wvsavg,tricksters_punish,risktaking,challenge_competition,fem19,malebias
KAZ,0.32786387,-0.028552463,0.24510741,0.047998864,64.831,0.19437312
KEN,,-0.07536007,0.2439042,0.07095406,63.584,0.08538763
KGZ,0.2550442,-0.03677253,,0.05937048,47.738,0.22405137
KHM,,-0.025739381,-0.40463993,0.038592532,75.201,0.14689112
KNA,,-0.0057471264,,0.09195402,,0.16091955
KOR,0.27275988,-0.028301887,-0.03935208,0.047169812,52.724,0.14150943
KWT,0.26236424,0.0412686,,0.058312107,57.332,0.29667792
LAO,,-0.020982733,,0.063745335,76.815,0.17424437
LBN,0.10351038,-0.028571429,,0.028571429,23.54,0.19142857
LBR,,-0.0127555495,,0.09044388,54.653,0.13709949
LBY,0.10978296,-0.00042733096,,0.052168872,25.741,0.29761836
LCA,,-0.0057471264,,0.09195402,60.356,0.16091955
LIE,,-0.026200846,,0.06550204,,0.1921408
LKA,,0.013755707,0.06270595,0.032401692,34.758,0.25043172
LSO,,-0.08332418,,0.055537246,59.817,0.083379105
LTU,0.24227855,-0.013648423,-0.045938365,0.056990717,56.416,0.16638507
LUX,0.24965468,-0.026200851,,0.0655022,53.491,0.19213976
LVA,0.20038886,-0.020865483,,0.057623155,55.177,0.19518828
MAC,,-0.009615385,,0.043269232,65.238,0.1298077
MAR,0.14908743,-0.029752748,-0.068959214,0.035489764,21.341,0.21622635
MCO,,-0.015402843,,0.06042654,,0.2085308
MDA,0.15114062,-0.01605239,-0.034774207,0.05413672,38.439,0.16198413
MDG,,-0.03448276,,0.089655176,83.7,0.2413793
MEX,0.19805196,-0.020938594,-0.13891679,0.060503125,43.897,0.1789356
MKD,0.138268,-0.042621486,,0.048894607,42.696,0.20789607
MLI,0.16125177,-0.027053071,,0.07239459,61.312,0.14487824
MLT,0.18283823,-0.04511278,,0.09774436,43.24,0.22556391
MMR,,-0.06356203,,0.06590076,47.547,0.16289583
MNE,0.2539399,-0.058417637,,0.066410236,43.467,0.19783533
MNG,,-0.037292708,,0.04985904,53.16,0.10671457
MOZ,,-0.09589765,,0.09240512,77.284,0.11271355
MRT,,-0.08487146,,0.11397253,29.218,0.18117996
MSR,,-0.0057471264,,0.09195402,,0.16091955
MWI,,-0.08508973,0.47503826,0.04371863,72.858,0.07436232
MYS,0.08320566,-0.016539628,,0.052167796,51.114,0.121992454
MYT,,-0.05882353,,0.029411765,,0.23529412
NAM,,-0.045830894,,0.07196612,56.705,0.12196888
NER,,-0.048638962,,0.04379366,67.232,0.13815199
NGA,0.18229607,-0.054276094,0.3859835,0.04690072,50.623,0.10506731
NIC,,-0.021981165,-0.5472273,0.06140632,50.897,0.18715616
NIU,,0.0,,0.09090909,,0.045454547
NLD,0.45171562,0.0121354945,0.18932624,0.08729281,57.879,0.17103401
NOR,0.51946914,-0.024047501,,0.06871963,60.188,0.21302529
NPL,,-0.013719709,,0.040844996,81.685,0.2238476
NZL,0.41809008,-0.01060083,,0.08167181,64.531,0.16844927
OMN,,0.040278055,,0.049508188,30.929,0.30596212
PAK,0.23371598,0.018526638,0.019619443,0.033858504,24.096,0.2933339
PAN,,-0.023889592,,0.06356339,52.513,0.19246295
PER,0.07429519,-0.020350458,0.15494472,0.059297387,70.194,0.17186908
PHL,0.05500981,-0.037437435,0.29464763,0.062429816,45.897,0.06395344
PNG,,0.009718046,,0.02785762,45.735,0.09915239
POL,0.21561915,-0.027578421,-0.073571,0.05801049,48.674,0.11927961
PRI,0.11676537,-0.023242699,,0.0684224,32.152,0.20015569
PRK,,-0.028266324,,0.047162388,74.21,0.14148717
PRT,0.1594682,-0.04075338,-0.79243463,0.05707088,53.561,0.22009313
PRY,,-0.02161948,,0.062276892,57.19,0.19765787
PSE,0.16307937,-0.028527407,,0.02856905,19.49,0.19150841
QAT,0.19421159,0.04183523,,0.05854389,57.69,0.297104
REU,,-0.009237875,,0.06004619,,0.2147806
ROU,0.14074963,-0.017046427,-0.22955099,0.055095635,45.168,0.16622266
RUS,0.24858041,-0.025217848,-0.3233624,0.047260083,54.508,0.18563399
RWA,0.10261386,-0.04987487,-0.28969413,0.0053664073,84.16,0.18300964
SAU,0.42552808,0.019752875,0.6957462,0.02984288,23.451,0.27719295
SDN,,0.0296609,,0.041329112,24.464,0.2264169
SEN,,-0.05990333,,0.082984686,35.286,0.11506642
SGP,0.24868071,-0.009615389,,0.043269236,60.372,0.12980768
SLB,,-0.007311731,,0.023387339,62.355,0.10086109
SLE,,-0.026129946,,0.08486783,57.579,0.0973274
SLV,0.1365228,-0.019994577,,0.06541443,46.292,0.21005705
SMR,,-0.02189781,,0.06082725,,0.20194647
SOM,,-0.016100049,,0.0317331,19.189,0.1907066
SRB,0.1791711,-0.049517,-0.12961876,0.06231287,46.565,0.20161597
STP,,-0.05154639,,0.082474224,43.199,0.15463917
SUR,,0.00032241753,0.1782133,0.056480333,39.335,0.1897513
SVK,0.17363074,-0.026679592,,0.053667493,52.479,0.23491961
SVN,0.18034802,-0.01922837,,0.059155144,52.926,0.21576665
SWE,0.4997202,-0.010068516,0.051853307,0.06686264,61.167,0.18729587
SWZ,,-0.05578822,,0.0006204317,41.637,0.2214467
SYC,,-0.009237875,,0.06004619,,0.2147806
SYR,,-0.027212987,,0.031165887,11.75,0.1980524
TCD,,-0.025827866,,0.037188716,64.805,0.15284593
TGO,,-0.11347593,,0.059638932,75.825,0.10701502
THA,0.31919143,-0.012115734,-0.12358965,0.05806285,59.15,0.13639382
TJK,,-0.03417117,,0.056451667,27.685,0.25516847
TKM,,0.009862298,,0.046429627,52.634,0.28494608
TLS,,1.7347235e-18,,0.046073075,24.851,0.16469166
TON,,-0.08888889,,0.08888889,45.21,0.11111111
TUN,0.14839049,-0.01340174,,0.026747597,23.909,0.24433662
TUR,0.108049564,-0.02306221,0.023427222,0.045855887,33.458,0.21971054
TWN,0.26091635,-0.010671566,,0.042783387,,0.12497038
TZA,0.07782663,-0.049478345,0.49186715,0.06977991,79.203,0.13098663
UGA,0.0752525,-0.022516962,0.16258633,0.113598965,67.27,0.06714907
UKR,0.25082475,-0.018864876,-0.21866788,0.051378053,46.397,0.16216621
URY,0.19618976,-0.021588802,,0.06476706,55.931,0.20240404
USA,0.34047297,-0.021588312,0.1165868,0.06710704,55.778,0.18592563
