group,longitude,latitude,concept,share
NorthernFoothillsYokuts,-119.5,36.8,coldness,0.03333333333333333
"Norvegians, Faroe islanders",5.0,62.0,coldness,0.010309278350515464
Nuba,30.0,21.0,coldness,0.012658227848101266
"Nuer,Dinka",30.5,8.0,coldness,0.08108108108108109
"Numfoor,Warope",135.0,-1.5,coldness,0.0
Nunivak,-167.0,60.1,coldness,0.0
Nyangi,33.0,3.0,coldness,0.25
"Nyaturu,Isanzu,Nilamba",34.8,-5.0,coldness,0.018518518518518517
Nyimang,30.8,12.3,coldness,0.0
Nyungwe (Tete),33.0,-16.7,coldness,0.0
Oaxaca Mixe,-95.5,17.0,coldness,0.047619047619047616
Ofaie,-53.0,-22.0,coldness,0.043478260869565216
Ohlone,-122.0,36.8,coldness,0.0
Oirat,92.0,49.0,coldness,0.04878048780487805
Ojibwa (Eastern),-80.0,47.0,coldness,0.009900990099009901
Ojibwa (Western),-89.0,48.0,coldness,0.021929824561403508
"Okanagon,Sanpoil",-118.5,49.0,coldness,0.01818181818181818
"Okinawa,Miyako,Yaeyama",127.5,26.5,coldness,0.0
Olcha,140.2,52.3,coldness,0.0
Old Testament,35.5,32.5,coldness,0.0
"Omagua, Cocama",-64.5,-4.0,coldness,0.0
"Omaha, Ponka",-98.0,42.5,coldness,0.021052631578947368
Omotic,36.5,6.6,coldness,0.0
"Ontong Java,Takuu,Nukumanu,Nukuria",159.21,-5.16,coldness,0.024390243902439025
Opata,-109.5,30.5,coldness,0.0
Oraon (Kurukh),85.0,22.4,coldness,0.013888888888888888
Orinoco Caribs,-64.0,8.0,coldness,0.0
Oriya,86.0,20.0,coldness,0.012345679012345678
"Ormuzd strait, Saheli",55.0,27.0,coldness,0.0
Oroch,138.0,48.0,coldness,0.028985507246376812
"Oromo,Konso,Sidamo",38.0,6.0,coldness,0.023809523809523808
"Osage, Kansa",-93.7,37.3,coldness,0.0
Ossetians,44.0,43.0,coldness,0.01652892561983471
Oto,-96.3,42.0,coldness,0.02564102564102564
"Otomi,Pame,Jonaz",-99.5,20.5,coldness,0.02631578947368421
Ottawa,-81.0,44.0,coldness,0.0
Owens Valley Mono,-118.5,37.2,coldness,0.0
"Paez,Guambia",-76.5,2.5,coldness,0.0
Paipai,-115.8,31.8,coldness,0.0
"Paiwan,Puyuma,Rukay",120.8,22.5,coldness,0.0
Palau,134.8,6.54,coldness,0.0
Palaung,97.0,22.0,coldness,0.0
Palawan,117.7,9.0,coldness,0.0
Palikur,-51.8,4.0,coldness,0.0
Panamint,-117.2,36.5,coldness,0.05263157894736842
Panare (E'napa),-66.0,7.0,coldness,0.0
Papago,-113.0,32.0,coldness,0.0
Paresi,-55.5,-15.0,coldness,0.006060606060606061
Parintintin,-62.0,-9.0,coldness,0.0
"Pasco,Junin,Huancavelica dep.",-76.8,-11.7,coldness,0.015384615384615385
Pashto,67.0,33.0,coldness,0.0
Pawnee,-99.0,41.0,coldness,0.0
"Paya,Sumu,Misquito",-85.0,14.0,coldness,0.037037037037037035
Pemon,-62.3,6.0,coldness,0.007142857142857143
Persians,54.0,34.0,coldness,0.002369668246445498
Piaroa,-67.5,5.0,coldness,0.0
Pima,-112.0,32.8,coldness,0.0
Pipil,-89.5,13.5,coldness,0.0
Piro,-70.0,-12.0,coldness,0.0
Plains Cree,-109.0,54.0,coldness,0.013513513513513514
Plains Ojibwa,-98.0,49.5,coldness,0.0
Polar Eskimo,-68.0,77.5,coldness,0.0125
Poles,21.0,52.0,coldness,0.024861878453038673
Pomo,-123.5,38.5,coldness,0.008130081300813009
Ponape district,159.0,6.3,coldness,0.0
Popoluca,-95.0,18.0,coldness,0.013888888888888888
Portuguese,-8.0,40.5,coldness,0.01358695652173913
Potawatomi,-85.0,44.5,coldness,0.02127659574468085
Prussians,20.4,54.5,coldness,0.0
Puebla & Huasteca Nahua,-98.0,19.0,coldness,0.039473684210526314
Puelche,-67.5,-42.0,coldness,0.2
Puinave,-68.5,2.8,coldness,0.0
Punjabi,72.0,31.0,coldness,0.0
Queensland,143.0,-17.0,coldness,0.0
"Quiche,Pocomam",-91.0,15.0,coldness,0.011111111111111112
"Quileute, Chemakum",-124.0,47.6,coldness,0.011764705882352941
Quinault,-124.0,47.2,coldness,0.010416666666666666
Qwapaw,-91.4,33.3,coldness,0.0
Rajasthani,75.0,27.0,coldness,0.0
"Rama,Guatuso",-84.5,10.7,coldness,0.041666666666666664
"Ramkokamekra,Apaniekra",-44.5,-6.5,coldness,0.0196078431372549
"Rawang, Anong, Drung",98.0,28.0,coldness,0.13043478260869565
Reindeer Koryak,165.0,63.0,coldness,0.012987012987012988
"Rennel,Tikopia,Bellona,Futuna(Erronan)",-163.0,-12.0,coldness,0.019230769230769232
Rikbaktsa,-57.0,-13.0,coldness,0.0
Romanians,27.0,46.0,coldness,0.022026431718061675
Romansh,9.6,46.6,coldness,0.017964071856287425
Roti,123.0,-10.9,coldness,0.0
Rotuma,-177.2,-2.5,coldness,0.0
Russians,40.0,57.5,coldness,0.015050167224080268
Russkoye Ustye,149.17,71.08,coldness,0.09523809523809523
"Rutul, Tsahur",47.2,41.6,coldness,0.046511627906976744
"Rwanda,Shi,Rundi",29.0,-3.0,coldness,0.018518518518518517
SE Australia,145.0,-34.0,coldness,0.024691358024691357
SE New Guinea Melanesians,148.0,-10.0,coldness,0.03508771929824561
"Saho, Afar",41.0,13.0,coldness,0.018867924528301886
Sakata,18.0,-3.4,coldness,0.0
Salinan,-121.0,35.6,coldness,0.043478260869565216
Saliva,-71.3,5.0,coldness,0.0
Samoa,-172.0,-13.3,coldness,0.0
Sandawe,35.5,-5.3,coldness,0.02702702702702703
Sanema,-64.5,4.3,coldness,0.0
Sangir Islands,125.5,3.6,coldness,0.0
"Santa-Cruz, Reef islands",166.0,-11.0,coldness,0.0
"Santali,Turi",87.0,24.0,coldness,0.013513513513513514
Santee,-92.5,45.0,coldness,0.008771929824561403
Sanye,39.9,-3.0,coldness,0.0
Sara,18.0,10.0,coldness,0.0
"Sardinia, Corsica",9.0,40.0,coldness,0.015463917525773196
Sarikoli,75.8,36.8,coldness,0.014084507042253521
Sarsi,-116.0,52.5,coldness,0.034482758620689655
Saudia,44.0,24.0,coldness,0.0
Scotland,-4.0,57.0,coldness,0.029239766081871343
Selknam,-68.5,-54.5,coldness,0.03125
"Semang,Senoi",102.0,5.0,coldness,0.014492753623188406
Senufo,-5.5,10.5,coldness,0.04
Sepik-Ramu Papuans,143.0,-4.3,coldness,0.019230769230769232
Serbs,20.5,44.0,coldness,0.021052631578947368
Seri,-112.5,29.0,coldness,0.0
Serrano,-117.0,34.7,coldness,0.02631578947368421
Setu,27.35,57.5,coldness,0.01675977653631285
"Shan,Khampti,Ahom",98.0,22.0,coldness,0.0
"Shasta,Chimariko",-122.8,42.0,coldness,0.014925373134328358
Shavante,-51.7,-14.0,coldness,0.0
Shawnee,-83.0,40.0,coldness,0.0
Sherente,-48.0,-10.5,coldness,0.029411764705882353
Sheta,-51.5,-25.5,coldness,0.0
Shipaya,-54.0,-4.5,coldness,0.0
Shipibo-Conibo,-75.0,-7.0,coldness,0.009523809523809525
Shona,31.0,-18.0,coldness,0.024096385542168676
Shor,88.5,53.0,coldness,0.05660377358490566
"Shuar,Achuar,Huambiza",-77.0,-3.0,coldness,0.024691358024691357
"Shughni,Rushani,Khufi,Bartangi",72.0,38.0,coldness,0.026490066225165563
Shuswap,-120.0,52.0,coldness,0.028735632183908046
Siberian Tatars,80.0,54.0,coldness,0.011111111111111112
Sicilia,14.0,37.5,coldness,0.020833333333333332
Sicuani,-69.0,5.0,coldness,0.012422360248447204
Sierra Miwok,-121.0,37.8,coldness,0.03508771929824561
Sindhi,68.5,25.5,coldness,0.0
Sinhalese,80.5,7.5,coldness,0.0049261083743842365
"Siona,Coreguaje",-75.5,0.5,coldness,0.0078125
Siriono,-65.0,-14.0,coldness,0.0
"Slavey, Dogrib",-119.0,62.0,coldness,0.07017543859649122
Slovakians,19.5,48.7,coldness,0.014388489208633094
Slovenians,14.0,46.0,coldness,0.026905829596412557
Soconuzco Mestizos; Cotzumalguapa,-92.4,14.5,coldness,0.0
Soko,24.0,1.0,coldness,0.0
Somali,46.0,4.0,coldness,0.0
Songe,25.5,-5.5,coldness,0.0
Songhai,0.0,16.5,coldness,0.012345679012345678
Soninke,-12.2,14.4,coldness,0.0
Soqotri,53.8,12.4,coldness,0.0
Sora,85.0,19.5,coldness,0.0
Sorbs,14.4,51.5,coldness,0.008547008547008548
"Sotho, Tswana",26.5,-27.5,coldness,0.0
Southern Australia,134.0,-32.0,coldness,0.0
Southern Gur,-4.0,11.0,coldness,0.05128205128205128
Southern Luzon,120.7,14.0,coldness,0.0
Southern Paiute,-114.0,37.0,coldness,0.01098901098901099
Southern Sel'kup,116.0,58.5,coldness,0.03225806451612903
Southern Solomons,161.0,-9.5,coldness,0.0
Southern Vanuatu,169.5,-19.4,coldness,0.041666666666666664
Spanish,-4.5,39.3,coldness,0.01804123711340206
St.Lawrence Eskimo,-170.0,63.0,coldness,0.0
Stavropol Turkmen,43.0,45.0,coldness,0.0
"Stieng,Chrau,Sre",107.0,11.5,coldness,0.0
"Sukuma,Gusii,Kumbi",33.0,-3.0,coldness,0.03278688524590164
"Sulu, Mapun",120.0,6.0,coldness,0.0
Sumba,120.0,-9.0,coldness,0.07692307692307693
Sumbawa,118.0,-9.0,coldness,0.0
Sumer,46.5,31.5,coldness,0.0
"Surui,Zoro,Arua,Cinta Larga",-61.0,-11.0,coldness,0.011904761904761904
Susu,-13.5,9.8,coldness,0.0
"Suya,Txukarramae",-52.0,-13.0,coldness,0.02857142857142857
Svan,42.8,42.8,coldness,0.0196078431372549
Swahili,40.0,-5.0,coldness,0.0
Swampy Cree (Eastern),-84.0,54.0,coldness,0.02564102564102564
Swampy Cree (Western),-94.0,58.0,coldness,0.010638297872340425
Swedes,16.0,59.0,coldness,0.016722408026755852
Sym Evenki,88.5,60.5,coldness,0.0
Tabasaran; Aghul,47.8,41.95,coldness,0.031914893617021274
Tacana,-68.0,-14.0,coldness,0.008547008547008548
Tagish,-134.0,60.0,coldness,0.0364963503649635
"Tahiti, Society islands",-152.0,-17.0,coldness,0.0
Tahltan,-129.5,57.5,coldness,0.02962962962962963
"Tai,Zhuang,Nung,Kho",105.5,22.5,coldness,0.010309278350515464
Taino,-77.0,21.0,coldness,0.0
Tajik,69.5,38.0,coldness,0.01718213058419244
Takelma,-123.5,42.4,coldness,0.018518518518518517
Talysh,48.5,38.0,coldness,0.0
Tamil,79.0,12.0,coldness,0.008620689655172414
Tanana,-147.5,64.5,coldness,0.03571428571428571
Tapirape,-51.5,-12.5,coldness,0.0
"Tarahumara,Warihio",-107.6,27.5,coldness,0.0
Tarascan,-102.0,19.0,coldness,0.0
Tariana,-69.5,1.0,coldness,0.0
Tasmania,146.5,-42.0,coldness,0.0
Tats,48.4,41.0,coldness,0.0
"Tawang,Miji,Aka,Sherdukpen",94.5,27.2,coldness,0.0
Teda,21.0,18.0,coldness,0.0
Tehuelche,-69.0,-47.0,coldness,0.034482758620689655
"Telugu, Chenchu",79.5,16.0,coldness,0.0
Temne,-12.5,8.5,coldness,0.0
"Tenda, Biafada, Nalu",-13.5,12.5,coldness,0.0
Tenetehara,-48.0,-3.0,coldness,0.011764705882352941
"Tepecano,Tepehuan",-104.0,23.0,coldness,0.0
Tequstlatec,-95.8,16.6,coldness,0.0625
Terena,-57.0,-19.5,coldness,0.0
Teton,-102.0,44.0,coldness,0.02727272727272727
Thai (Thailand),101.0,15.0,coldness,0.010869565217391304
Thompson,-121.2,50.0,coldness,0.03763440860215054
Tibetans (U-Tsang),92.0,31.0,coldness,0.004807692307692308
Tibetans: Amdo,98.0,36.0,coldness,0.007936507936507936
Tibetans: Kham,97.0,30.0,coldness,0.0196078431372549
Tibetans: Ladakh,77.34,34.1,coldness,0.1111111111111111
Ticuna,-70.5,-4.0,coldness,0.025
"Tigre, Tigrigna",39.0,15.0,coldness,0.021739130434782608
Tillamook,-124.0,45.5,coldness,0.02586206896551724
"Timor,Leti,Lomblen",125.5,-9.0,coldness,0.030303030303030304
"Tiv,Jukun,Mbete,Wute,Ekoi",10.0,7.0,coldness,0.00909090909090909
"Tiwa,Tewa,Towa",-106.5,35.0,coldness,0.0
"Tjam,Ede,Jarai",108.5,13.0,coldness,0.014705882352941176
Tlapanec; Popoloca,-99.0,17.5,coldness,0.0
Tlingit,-136.0,58.0,coldness,0.02577319587628866
Toba,-59.0,-26.0,coldness,0.02158273381294964
"Toda,Kota,Pulaya,Nayar,Kadar",76.5,10.0,coldness,0.0
Tofa,99.0,53.0,coldness,0.03296703296703297
Tokelau,-172.0,-9.5,coldness,0.0
Tonga,-174.0,-20.5,coldness,0.034482758620689655
"Tonga, Ndebele",32.0,-23.0,coldness,0.0
Tonkawa,-97.0,30.0,coldness,0.0
"Toradja, Mori",122.0,-3.0,coldness,0.02027027027027027
Torres Strait Islands,142.5,-10.0,coldness,0.0
Torricelli Papuans,142.5,-3.7,coldness,0.0
"Totonac, Tepehua",-97.0,20.0,coldness,0.028846153846153848
Trans New Guinea East,143.0,-7.0,coldness,0.02027027027027027
Trans New Guinea West,137.0,-4.0,coldness,0.011904761904761904
Trio,-56.0,2.0,coldness,0.009615384615384616
Truk district,151.0,6.0,coldness,0.0
Trumai,-53.5,-13.5,coldness,0.017857142857142856
Tsamai,37.0,5.5,coldness,0.0
Tseltal,-92.6,16.5,coldness,0.0
Tsetsot,-129.8,55.5,coldness,0.0
Tsimshian,-129.0,54.5,coldness,0.02027027027027027
"Tsonga,Soli,Sala,Lenje",28.0,-17.0,coldness,0.022222222222222223
Tuamotu,-141.0,-17.0,coldness,0.02631578947368421
Tuareg,5.0,21.0,coldness,0.0
Tubatulabal,-118.2,36.0,coldness,0.07692307692307693
Tundra Nenets,67.0,68.0,coldness,0.020512820512820513
Tunebo,-72.3,6.8,coldness,0.0
Tunica,-91.2,32.8,coldness,0.0
Tunisia Arabs,10.0,36.5,coldness,0.008888888888888889
Tunisia Berber,9.5,33.3,coldness,0.0
"Tupari,Makurap,Ajuru",-64.0,-13.0,coldness,0.0
Tupinamba,-42.2,-23.0,coldness,0.0
"Turkana, Toposa",36.8,2.8,coldness,0.0
Turkmen,60.0,39.0,coldness,0.015228426395939087
Turks,34.0,38.0,coldness,0.00954653937947494
Tuscarora,-77.0,36.0,coldness,0.0
Tutchone,-137.5,61.8,coldness,0.061855670103092786
Tuvalu (Ellice),173.8,-7.5,coldness,0.016129032258064516
Tuvinians,94.0,51.0,coldness,0.03501945525291829
Tuvinians South Altai,88.5,48.7,coldness,0.015748031496062992
Twana,-123.3,47.6,coldness,0.02702702702702703
Tzotzil,-93.0,17.0,coldness,0.0
Tzutujil,-91.7,14.5,coldness,0.0
"Uanano,Tucano proper,Arapaso",-69.0,-0.2,coldness,0.0
Udihe,134.5,45.0,coldness,0.01675977653631285
Udin,47.5,41.0,coldness,0.037037037037037035
Udmurt,52.5,57.5,coldness,0.017391304347826087
Uduk,35.4,5.5,coldness,0.0
"Ugarit, Phoenicia",35.0,33.0,coldness,0.0
Uilta,142.0,51.0,coldness,0.0
Ukrainians,29.0,49.0,coldness,0.01870748299319728
"Ulithi, Ngulu",138.5,10.5,coldness,0.023255813953488372
Umotina,-58.5,-16.0,coldness,0.0
"Umpqua,Coquille,Tututni",-124.5,42.5,coldness,0.0196078431372549
Upper Chinook,-122.0,45.6,coldness,0.03260869565217391
"Upper Tanana,Tanacross",-142.0,64.0,coldness,0.0392156862745098
Urarina,-75.7,-4.2,coldness,0.0
Urubu-Kaapor,-45.0,-3.0,coldness,0.0
Ute,-109.0,39.0,coldness,0.01744186046511628
Uyghur,86.0,41.0,coldness,0.011834319526627219
Uzbek,66.0,39.0,coldness,0.02564102564102564
"Vai, Kone",-11.5,7.0,coldness,0.027777777777777776
Vepsians,35.5,60.5,coldness,0.010638297872340425
Veracruz Nahuatl,-94.0,17.8,coldness,0.0
Viets,107.5,20.7,coldness,0.01818181818181818
Vilela,-64.5,-24.5,coldness,0.0
Volga (Kazan) Tatars,51.0,55.0,coldness,0.013966480446927373
"Wa, Bulang",99.5,23.0,coldness,0.0
"Wahki,Ishkashimi,Munji",73.0,37.0,coldness,0.024793388429752067
Waiwai,-58.0,-0.5,coldness,0.0
"Walapai,Havasupai,Yavapai",-113.0,34.5,coldness,0.01694915254237288
Wales,-4.0,52.0,coldness,0.03571428571428571
"Wallis, Futuna",-178.0,-13.0,coldness,0.0
Waorani,-77.0,-1.1,coldness,0.0
Wapishana,-59.0,3.0,coldness,0.0
Wappo,-122.5,38.2,coldness,0.0
Warao,-61.5,9.0,coldness,0.017964071856287425
Warli,73.0,20.2,coldness,0.0
Washo,-120.0,39.0,coldness,0.0
"Waura,Mehinaku",-54.0,-13.0,coldness,0.02247191011235955
"Wayampi, Emerillon",-52.0,3.0,coldness,0.0
"Wayana, Aparai",-54.0,3.0,coldness,0.01652892561983471
West Greenland Eskimo,-53.0,67.0,coldness,0.02197802197802198
Western Apache,-110.5,33.5,coldness,0.05825242718446602
Western Australia,117.0,-27.0,coldness,0.027777777777777776
Western Evenki,100.0,64.0,coldness,0.015463917525773196
Western Keres,-108.0,35.0,coldness,0.06493506493506493
Western Sahaptin,-120.5,46.0,coldness,0.030303030303030304
Western Sahara & Mauritania,-16.0,21.0,coldness,0.0
Western Sami,18.0,66.0,coldness,0.00881057268722467
"Western Shoshoni,Gosiute",-115.0,40.0,coldness,0.014814814814814815
Western Wood Cree,-112.0,56.0,coldness,0.047619047619047616
Wichita,-97.0,33.0,coldness,0.02631578947368421
Winnebago,-89.0,44.0,coldness,0.0
Wintu,-122.5,39.5,coldness,0.024193548387096774
"Witoto,Ocaina",-73.0,-2.0,coldness,0.024390243902439025
Wiyot,-124.2,40.5,coldness,0.05405405405405406
Wotians,28.5,59.8,coldness,0.02666666666666667
Xhosa,26.5,-32.5,coldness,0.0
Yabarana,-66.3,5.5,coldness,0.0
Yaghnobi,69.0,39.3,coldness,0.03296703296703297
Yagua,-71.5,-3.0,coldness,0.022222222222222223
Yaka,17.0,-7.0,coldness,0.06666666666666667
Yakut,127.0,65.0,coldness,0.03389830508474576
Yamana,-71.0,-55.0,coldness,0.0
"Yambasa, Banen",11.0,4.4,coldness,0.0
Yami,121.5,22.0,coldness,0.07692307692307693
Yana,-122.0,40.3,coldness,0.041666666666666664
Yankton,-98.0,45.5,coldness,0.0
Yanomamo,-64.5,2.0,coldness,0.0
"Yao, Macua",37.5,-12.5,coldness,0.0
Yap,138.6,9.31,coldness,0.038461538461538464
"Yaqui,Mayo,Sinaloa",-109.0,26.5,coldness,0.0
Yaruro,-69.0,6.0,coldness,0.0
Yava,110.0,-8.0,coldness,0.0
Yazguliami,71.6,38.4,coldness,0.03225806451612903
Yellowknife,-110.0,65.0,coldness,0.13636363636363635
Yemen,46.0,14.0,coldness,0.0
Yogur,100.0,39.0,coldness,0.0
Yokuts,-120.0,36.5,coldness,0.020833333333333332
"Yoruba,Nupe,Bini",4.5,8.0,coldness,0.011235955056179775
"Yucatec, Itza",-88.5,20.0,coldness,0.0
Yuchi,-81.5,30.5,coldness,0.061224489795918366
"Yucuna, Kabiyari",-70.0,-1.0,coldness,0.0
Yukaghir,154.0,67.0,coldness,0.017142857142857144
Yuki,-123.0,39.5,coldness,0.018867924528301886
Yukpa,-76.0,9.5,coldness,0.011627906976744186
"Yuma,Mohave,Maricopa",-114.6,33.0,coldness,0.0
Yuracare,-67.0,-17.0,coldness,0.0
Yurok,-124.0,41.5,coldness,0.02727272727272727
Zaghawa,22.0,16.0,coldness,0.05555555555555555
"Zande,Nzakara",25.0,4.5,coldness,0.0
Zaparo,-75.0,-2.5,coldness,0.0
"Zapotec,Chatino",-96.5,16.5,coldness,0.023809523809523808
Zoque,-92.5,16.5,coldness,0.0
"Zulu,Swasi",30.5,-28.5,coldness,0.0
Zuni,-109.0,35.0,coldness,0.028037383177570093
Abaza (Abazins),42.0,44.2,farming,0.021739130434782608
"Abenaki,Penobscot",-70.5,44.5,farming,0.015625
Abkhaz,40.8,43.2,farming,0.022950819672131147
"Abor,Gallong,Tani",95.0,28.5,farming,0.018633540372670808
Aceh,95.6,5.3,farming,0.0
Ache,-55.5,-25.0,farming,0.0
Achomavi,-120.5,40.14,farming,0.0
"Acoli,Alur,Lango",32.5,2.7,farming,0.0
Admiralty islands,147.0,-2.0,farming,0.0
"Adyghe, Kabardin",42.5,44.0,farming,0.02586206896551724
Aguaruna,-78.5,-5.0,farming,0.017391304347826087
Aimara,-69.0,-16.5,farming,0.038461538461538464
Ainu,143.0,43.0,farming,0.0078125
"Aka,Baka a.o.Western Pygmies",17.0,2.0,farming,0.0
"Akan,Ashanti,Akwapim,Tvi",-1.5,6.5,farming,0.0125
Akawai,-60.0,7.0,farming,0.0
"Akkad,Assyria,Babylon",44.0,33.0,farming,0.0
"Akposo,Akebu,Santrokofi",0.5,7.0,farming,0.0
Akuriyo,-55.4,3.2,farming,0.0
"Alabama,Koasati",-87.0,32.0,farming,0.008264462809917356
Albanians,20.0,41.5,farming,0.0371900826446281
Aleut,-170.0,54.0,farming,0.0
Algeria Arabs,2.0,35.0,farming,0.030042918454935622
Algonkian proper,-77.0,47.0,farming,0.0
"Alor, Solor",124.0,-8.3,farming,0.029411764705882353
Alsea,-123.9,44.5,farming,0.0
"Altai-Kiji, Telengit",88.0,50.0,farming,0.01556420233463035
Amhara,38.0,11.5,farming,0.0
Ami,121.35,23.4,farming,0.0
Amuesha,-75.5,-9.5,farming,0.0
Anambe,-49.5,-2.5,farming,0.0
Ancient China,110.0,34.0,farming,0.014285714285714285
Ancient Egypt,30.7,27.5,farming,0.020833333333333332
Ancient Greece,24.0,37.5,farming,0.01904761904761905
Ancient Italy,13.5,42.0,farming,0.0
Andaman,92.5,12.0,farming,0.0
Andoque,-73.5,-0.5,farming,0.01818181818181818
"Anuak, Shilluk",33.5,7.5,farming,0.0
Apinaye,-48.0,-6.0,farming,0.014705882352941176
Arabs of Sudan,30.0,15.0,farming,0.020689655172413793
Arabs: Egypt,31.0,31.0,farming,0.0136986301369863
Arabs: Iraq,46.0,32.0,farming,0.02702702702702703
Arabs: Libya,17.0,30.0,farming,0.012987012987012988
"Arabs: Palestine,Syria,Lebanon",36.5,34.0,farming,0.022857142857142857
Aragon,0.0,42.2,farming,0.031578947368421054
Aramaic (Syrians),36.5,33.5,farming,0.035398230088495575
Arapaho,-103.0,40.0,farming,0.0
Arikara,-100.5,45.0,farming,0.00909090909090909
Armenians,43.5,40.5,farming,0.03508771929824561
Arnham Land,133.0,-14.0,farming,0.015151515151515152
Ashaninca,-74.4,-11.5,farming,0.0
AsiaticEskimo,-173.0,65.0,farming,0.0078125
Assamese,91.0,25.0,farming,0.05128205128205128
Assiniboine,-104.5,50.0,farming,0.0
Astrakhan Tatars and Nogai,47.5,47.0,farming,0.0
"Asurini,Paracana.",-51.5,-5.0,farming,0.0
Atacameno,-70.0,-23.5,farming,0.0
"Atayal,Sedeq,Saisiyat",121.4,24.4,farming,0.0
Athna,-145.0,62.0,farming,0.0
Atsugevi,-121.0,40.08,farming,0.0
Attikamek,-74.0,47.5,farming,0.0
"Avar,Andi,Akhvakh",46.7,42.4,farming,0.030042918454935622
Avesta; Pekhlevi texts,61.0,36.0,farming,0.01818181818181818
Ayacucho dep.,-74.3,-14.0,farming,0.041666666666666664
Ayoreo,-60.0,-20.0,farming,0.0
Azerbaijan,48.0,39.0,farming,0.020618556701030927
Aztec,-99.0,19.5,farming,0.058823529411764705
Baffin Land Eskimo,-66.0,65.0,farming,0.0
"Baiga,Bhuiya,Bhumiya",81.0,23.0,farming,0.0078125
Baikal Evenki,115.0,55.0,farming,0.012048192771084338
Bakairi,-55.0,-14.0,farming,0.0
Balahi,76.5,21.8,farming,0.0
"Balantak,Loinang,Banggai",122.5,-1.0,farming,0.0
"Bali, Lombok",115.0,-9.0,farming,0.04225352112676056
Baluch,63.0,28.0,farming,0.013888888888888888
"Banda,Gbaya,Ngbandi,Manja",20.0,7.0,farming,0.0
"Banhar,Moi,Sedang",108.5,16.0,farming,0.018518518518518517
"Baniwa, Bare, Piapoco",-68.5,1.5,farming,0.010752688172043012
"Banks, Torres islands",167.5,-13.0,farming,0.03225806451612903
Bannock,-112.0,43.0,farming,0.0
"Barasana,Taibano,Makuna",-70.4,0.2,farming,0.014492753623188406
Bari,-73.0,9.5,farming,0.0
"Bari, Kakwa",31.0,5.5,farming,0.0
Bashkir,57.0,54.0,farming,0.023148148148148147
Basque,-1.5,43.0,farming,0.0273972602739726
Batak; Gayo,98.9,2.3,farming,0.017857142857142856
"Baule, Nzema, Agni",-4.0,7.5,farming,0.014925373134328358
Beaver,-120.0,57.0,farming,0.0
Bedja,36.5,19.5,farming,0.0
Bella Coola,-127.0,51.8,farming,0.0056179775280898875
"Bemba,Kaonde,Lamba",28.0,-11.5,farming,0.012048192771084338
Bengali,89.0,23.0,farming,0.006097560975609756
"Berber (Morocco,SW Algeria)",-5.0,35.0,farming,0.03932584269662921
Bering Strait Inupiat,-166.0,65.5,farming,0.019801980198019802
"Bhil, Barela-Bhilala",74.4,23.4,farming,0.0
Bilin,38.0,15.5,farming,0.0
Biloxi,-89.0,30.5,farming,0.0
Biu-Mandara,13.0,10.0,farming,0.023529411764705882
Blackfoot,-112.5,51.0,farming,0.005434782608695652
"Boa,Komo,Nyanga",27.0,0.0,farming,0.0
Bobo,-4.5,11.5,farming,0.07692307692307693
"Bole, Tangale",10.8,10.3,farming,0.0
"Bondo,Didayi,Gutob",82.18,18.25,farming,0.03076923076923077
Bongo,28.0,7.5,farming,0.0
Bora,-72.0,-2.5,farming,0.021739130434782608
Bororo,-54.0,-15.5,farming,0.02857142857142857
Boruca,-83.3,8.9,farming,0.25
Bosnia Muslims,18.0,44.0,farming,0.046296296296296294
Botocudo,-41.0,-17.0,farming,0.0
"Bozo,Sorko",-5.0,14.0,farming,0.0
Brahui,66.0,29.0,farming,0.0
Bretagne,-4.0,48.5,farming,0.015957446808510637
"Bribri,Cabecar",-83.4,9.5,farming,0.043478260869565216
Buduma,14.4,12.8,farming,0.0
"Bugi, Macassar",119.7,-5.0,farming,0.03125
"Buka, Bougenville",155.0,-6.0,farming,0.0
Bukhara Arabs,64.5,39.8,farming,0.027777777777777776
Bulgarians,25.0,42.5,farming,0.03893805309734513
Bunak,125.2,-9.3,farming,0.0
"Bunun,Tsou,Kanabu",121.0,23.4,farming,0.0196078431372549
"Burmese,Intha,Arakan",95.0,20.0,farming,0.015625
Burusho,75.0,36.6,farming,0.03571428571428571
Buryat,107.0,52.0,farming,0.025936599423631124
Bushmen,20.0,-26.0,farming,0.0
Byelorussians,27.0,53.0,farming,0.034722222222222224
Caddo,-95.0,33.0,farming,0.012345679012345678
Caduveo,-57.0,-22.0,farming,0.0
"Cahuilla, Cupeno",-116.0,34.0,farming,0.0
Candoshi,-77.0,-4.0,farming,0.0
Caribou,-97.0,65.0,farming,0.0
Carijona,-72.0,0.0,farming,0.02631578947368421
Carrier,-123.0,53.5,farming,0.0
Cashibo,-75.5,-8.8,farming,0.029411764705882353
"Cashinahua,Mayoruna",-72.5,-8.0,farming,0.009259259259259259
Catalonia,2.0,41.3,farming,0.0297029702970297
Catawba,-79.5,36.0,farming,0.0
Cayapa (Chachi),-79.0,1.0,farming,0.0
Cayapo,-51.0,-8.0,farming,0.009523809523809525
Central Australia,133.0,-23.5,farming,0.0
Central Philippines,122.5,12.0,farming,0.10344827586206896
Central Solomons,157.0,-8.0,farming,0.0
Central Vanuatu,167.5,-15.0,farming,0.013333333333333334
Central Yupiq,-160.0,60.0,farming,0.0
Ceram,128.0,-3.3,farming,0.06666666666666667
