contract_no,rank,item,value,value_norm
20O00100,6,"Regulatory Signs (R6-10B, Bike Lane Signs, 600mm Diameter)",818440,0.034309656780973155
20O00100,7,Construction Safety and Health,584633.7,0.02450831043154101
20O00100,8,"Warning Signs (Aluminum Reflective Bike Lane Signage, 600x400mm)",541688,0.02270799247638408
20O00100,9,Traffic Management,375240.6,0.015730384874012064
20O00100,10,Others,186909.1,0.007835378366453974
20O00101,1,"Reflectorized Thermoplastic Pavement Markings, Yellow",21659977.38,0.3467006628182174
20O00101,2,Concrete Curb (Precast Concrete Delineators),8223858.000000001,0.13163527225820676
20O00101,3,"Tubular Markers, Reflectorized Collapsible Rubber Bollards",7427213.2,0.11888376862802677
20O00101,4,"Reflectorized Thermoplastic Pavement Markings, White",6968250.3,0.11153737399208873
20O00101,5,"Warning Signs (Aluminum Reflective Bike Lane Signage, 600x400mm)",4593254.1,0.0735219715618417
20O00101,6,Epoxy Injection on Cracks (Epoxy Sealant),4367128.1,0.06990248329068487
20O00101,7,"Regulatory Signs (R6-10B, Bike Lane Signs, 600mm Diameter)",3478554.9600000004,0.05567952768940509
20O00101,8,Traffic Management,2460326.4000000004,0.03938124120188526
20O00101,9,Construction Safety and Health,1118577.6,0.017904524484485443
20O00101,10,Others,2177437.32,0.034853174075157915
20O00102,1,"Reflectorized Thermoplastic Pavement Markings, Yellow",36552918.08,0.4821487977862396
20O00102,2,"Reflectorized Thermoplastic Pavement Markings, White",18348581.099999998,0.24202572005568088
20O00102,3,Epoxy Injection on Cracks (Epoxy Sealant),6852659.05,0.09038953648968139
20O00102,4,Traffic Management,3108520.8000000003,0.04100273371699904
20O00102,5,"Warning Signs (Aluminum Reflective Bike Lane Signage, 600x400mm)",3106764.1,0.04097956208426599
20O00102,6,Construction Safety and Health,2892607.1999999997,0.03815473995524629
20O00102,7,Fabricated Rack (Bike Rack),2164812.48,0.028554812843676742
20O00102,8,"Regulatory Signs (R6-10B, Bike Lane Signs, 600mm Diameter)",1602863.56,0.021142463558667876
20O00102,9,Mobilization/Demobilization,735411.6,0.009700397052898024
20O00102,10,Others,447387.64,0.005901236456644147
20O00103,1,"Reflectorized Thermoplastic Pavement Markings, Yellow",25710549.97,0.5458436305720453
20O00103,2,"Reflectorized Thermoplastic Pavement Markings, White",8109310.51,0.17216339189085206
20O00103,3,"Regulatory Signs (R6-10B, Bike Lane Signs, 600mm Diameter)",2931028.8,0.062226728069606725
20O00103,4,Epoxy Injection on Cracks (Epoxy Sealant),2740423.5,0.058180113388875576
20O00103,5,"Warning Signs (Aluminum Reflective Bike Lane Signage, 600x400mm)",2579220.8,0.05475772580367464
20O00103,6,Traffic Management,2443203,0.05187002212323788
20O00103,7,Construction Safety and Health,1189679.4,0.025257294132972317
20O00103,8,Fabricated Rack (Bike Rack),851760.8,0.018083168504502818
20O00103,9,Mobilization/Demobilization,337575,0.0071668308848065534
20O00103,10,Others,209657.28,0.004451094629426158
20O00104,1,"Reflectorized Thermoplastic Pavement Markings, Yellow",38464040.01,0.5669490097902261
20O00104,2,"Reflectorized Thermoplastic Pavement Markings, White",10704555.610000001,0.1577821050975428
20O00104,3,"Regulatory Signs (R6-10B, Bike Lane Signs, 600mm Diameter)",3870744.9800000004,0.05705368008641194
20O00104,4,Epoxy Injection on Cracks (Epoxy Sealant),3642214.9999999995,0.05368521317979745
20O00104,5,"Warning Signs (Aluminum Reflective Bike Lane Signage, 600x400mm)",2898655.5,0.042725357633278754
20O00104,6,Traffic Management,2664446.4000000004,0.03927318211312179
20O00104,7,Construction Safety and Health,2479377.5999999996,0.03654532063846164
20O00104,8,Fabricated Rack (Bike Rack),1980573.1199999999,0.029193084473425255
20O00104,9,Mobilization/Demobilization,639861.6,0.009431377994315626
20O00104,10,Others,499444.44,0.007361668993418719
