est,conf_int_low,conf_int_high,dist_pre
0.8767928521043946,0.8535630264035783,0.900022677805211,-1
0.8738532224967324,0.8353426122285369,0.9123638327649278,-2
0.8547069927317121,0.830093664756098,0.8793203207073262,-3
0.8527633440351264,0.827555033301409,0.8779716547688439,-4
0.8395381513629252,0.8215562045122847,0.8575200982135657,-5
0.8389091768319071,0.8148250900130943,0.8629932636507199,-6
0.8269569925739695,0.8033200168425384,0.8505939683054006,-7
0.8193298309985673,0.8067332419929987,0.8319264200041359,-8
0.8140970455372778,0.7972171165637495,0.8309769745108061,-9
0.8186311585254451,0.801810746627079,0.8354515704238112,-10
0.8196429892057417,0.803353728306646,0.8359322501048375,-11
0.8093429272095581,0.7879452839920219,0.8307405704270944,-12
0.7979096702618429,0.7808538535343553,0.8149654869893305,-13
0.7920435908515222,0.7806983901483986,0.8033887915546458,-14
0.8009302249574246,0.7827896782967521,0.8190707716180972,-15
0.7854615474660976,0.7693346142146557,0.8015884807175396,-16
0.7802057118897323,0.7688590760655095,0.7915523477139551,-17
0.7793373552509971,0.7697508342449083,0.7889238762570859,-18
0.7607597733823804,0.7517451474969716,0.7697743992677892,-19
0.7666424529958671,0.7500354507836089,0.7832494552081253,-20
0.7762768431063272,0.7684113811899486,0.7841423050227058,-21
0.7685001819302459,0.7505508818974662,0.7864494819630257,-22
0.7623679773003162,0.7484908754626522,0.7762450791379802,-23
0.7524062204148327,0.7357152247982423,0.7690972160314232,-24
0.7645076162610149,0.7508361702505318,0.778179062271498,-25
0.7619055391516099,0.7471502762065828,0.7766608020966369,-26
0.7561581609798964,0.7433813153389818,0.768935006620811,-27
0.7549720532270562,0.731983920619451,0.7779601858346614,-28
0.749596334886476,0.731334072213821,0.7678585975591311,-29
0.7489370546492555,0.7306821733768993,0.7671919359216117,-30
0.7608507270864149,0.7327339699885848,0.788967484184245,-31
0.75528834813867,0.7361808222942263,0.7743958739831136,-32
0.7379756619170605,0.7144959285894602,0.7614553952446609,-33
0.7390366420330235,0.7120134779116023,0.7660598061544448,-34
0.7445963175420582,0.7253570073306197,0.7638356277534968,-35
0.7503501267458592,0.7202828826306044,0.7804173708611141,-36
0.7522195132514111,0.7251795736450709,0.7792594528577513,-37
0.7519064248306184,0.7360530154882655,0.7677598341729713,-38
0.7376067120817293,0.7065858088582735,0.7686276153051852,-39
0.7521693870497358,0.7262568747097243,0.7780818993897473,-40
0.7306323390010783,0.6986394438833661,0.7626252341187905,-41
0.7441923126347726,0.7125712279281557,0.7758133973413894,-42
0.7430532475761712,0.713113858052741,0.7729926370996014,-43
0.7447715760900862,0.7221249497467019,0.7674182024334704,-44
0.7394860764333161,0.6966515593188529,0.7823205935477793,-45
0.7379953842301911,0.6984395170325907,0.7775512514277915,-46
0.7391824173763304,0.7252201525479136,0.7531446822047472,-47
0.7392046580015379,0.7269324563263502,0.7514768596767256,-48
0.7204317502853885,0.7144311284860071,0.72643237208477,-49
0.7360176119075339,0.7079872288048301,0.7640479950102377,-50
0.7606524473321234,0.7466798089956029,0.774625085668644,-51
0.746962560261635,0.7118587356134505,0.7820663849098195,-52
0.7184540548335909,0.6714833459060096,0.7654247637611723,-53
0.7162107562125326,0.6650092697635284,0.7674122426615368,-54
0.7359298647053781,0.7207036597225365,0.7511560696882198,-55
0.7561696467905656,0.7304183579983934,0.7819209355827379,-56
0.7456130233422216,0.7186974987323159,0.7725285479521272,-57
0.736738536395986,0.699598719506942,0.77387835328503,-58
0.7417840471685726,0.722547417702382,0.7610206766347632,-59
0.7060863685763901,0.6800970576441923,0.7320756795085879,-60
