year,title,winner,gross_us,gross_int,gross,mc_critics,mc_users,url_wiki,url_imdb,url_metacritic
2021,Dune,no,108327830,293700000,402027830,74,7.9,/wiki/Dune_(2021_film),tt1160419,https://www.metacritic.com/movie/dune-2020
2021,King Richard,no,15129285,24300000,39429285,76,6.5,/wiki/King_Richard_(film),tt9620288,https://www.metacritic.com/movie/king-richard
2021,Licorice Pizza,no,17318007,15953398,33271405,90,6.6,/wiki/Licorice_Pizza,tt11271038,https://www.metacritic.com/movie/licorice-pizza
2021,Nightmare Alley,no,11338107,28291088,39629195,70,7.1,/wiki/Nightmare_Alley_(2021_film),tt7740496,https://www.metacritic.com/movie/nightmare-alley
2021,The Power of the Dog,no,271009,271009,542018,89,6.5,/wiki/The_Power_of_the_Dog_(film),tt10293406,https://www.metacritic.com/movie/the-power-of-the-dog
2021,West Side Story,no,38530322,37485849,76016171,85,7.1,/wiki/West_Side_Story_(2021_film),tt3581652,https://www.metacritic.com/movie/west-side-story-2020
2022,All Quiet on the Western Front,no,NA,NA,NA,76,8,/wiki/All_Quiet_on_the_Western_Front_(2022_film),tt1016150,https://www.metacritic.com/movie/all-quiet-on-the-western-front-2022
2022,Avatar: The Way of Water,no,601998602,1443900000,2045898602,67,7.3,/wiki/Avatar:_The_Way_of_Water,tt1630029,https://www.metacritic.com/movie/avatar-the-way-of-water
2022,The Banshees of Inisherin,no,9427062,19691278,29118340,87,7.4,/wiki/The_Banshees_of_Inisherin,tt11813216,https://www.metacritic.com/movie/the-banshees-of-inisherin
2022,Elvis,no,151040048,136300000,287340048,64,7.5,/wiki/Elvis_(2022_film),tt3704428,https://www.metacritic.com/movie/elvis
2022,Everything Everywhere All at Once,no,70008593,34101836,104110429,81,7.8,/wiki/Everything_Everywhere_All_at_Once,tt6710474,https://www.metacritic.com/movie/everything-everywhere-all-at-once
2022,The Fabelmans,no,15129650,6666000,21795650,84,7.3,/wiki/The_Fabelmans,tt14208870,https://www.metacritic.com/movie/the-fabelmans
2022,Tár,no,5951010,1217000,7168010,92,7.6,/wiki/T%C3%A1r,tt14444726,https://www.metacritic.com/movie/tar-2022
2022,Top Gun: Maverick,no,718732821,770000000,1488732821,78,7.4,/wiki/Top_Gun:_Maverick,tt1745960,https://www.metacritic.com/movie/top-gun-maverick
2022,Triangle of Sadness,no,4216348,18253924,22470272,63,6.9,/wiki/Triangle_of_Sadness,tt7322224,https://www.metacritic.com/movie/triangle-of-sadness
2022,Women Talking,no,1249741,1249741,2499482,78,6.3,/wiki/Women_Talking_(film),tt13669038,https://www.metacritic.com/movie/women-talking
